frame,seconds,midi,note,velocity,instrument,pan
4035,134.500,0,C-1,0.1,3,0
4050,135.000,0,C-1,0.1,2,0
4065,135.500,0,C-1,0.1,3,0
4080,136.000,79,G5,0.67,0,0.16
4095,136.500,76,E5,0.48,0,0.16
4110,137.000,74,D5,0.67,0,0.16
4125,137.500,72,C5,0.48,0,0.16
4080,136.000,36,C2,0.6,1,-0.12
4110,137.000,43,G2,0.39,1,-0.12
4080,136.000,60,C4,0.22,0,-0.24
4085,136.167,67,G4,0.22,0,-0.24
4090,136.333,64,E4,0.22,0,-0.24
4095,136.500,67,G4,0.22,0,-0.24
4100,136.667,60,C4,0.22,0,-0.24
4105,136.833,67,G4,0.22,0,-0.24
4110,137.000,64,E4,0.22,0,-0.24
4115,137.167,67,G4,0.22,0,-0.24
4120,137.333,60,C4,0.22,0,-0.24
4125,137.500,67,G4,0.22,0,-0.24
4130,137.667,64,E4,0.22,0,-0.24
4135,137.833,67,G4,0.22,0,-0.24
4080,136.000,0,C-1,0.1,2,0
4095,136.500,0,C-1,0.1,3,0
4110,137.000,0,C-1,0.1,2,0
4125,137.500,0,C-1,0.1,3,0
4140,138.000,77,F5,0.67,0,0.16
4155,138.500,79,G5,0.48,0,0.16
4170,139.000,81,A5,0.67,0,0.16
4185,139.500,77,F5,0.48,0,0.16
4140,138.000,41,F2,0.6,1,-0.12
4170,139.000,48,C3,0.39,1,-0.12
4140,138.000,65,F4,0.22,0,-0.24
4145,138.167,72,C5,0.22,0,-0.24
4150,138.333,69,A4,0.22,0,-0.24
4155,138.500,72,C5,0.22,0,-0.24
4160,138.667,65,F4,0.22,0,-0.24
4165,138.833,72,C5,0.22,0,-0.24
4170,139.000,69,A4,0.22,0,-0.24
4175,139.167,72,C5,0.22,0,-0.24
4180,139.333,65,F4,0.22,0,-0.24
4185,139.500,72,C5,0.22,0,-0.24
4190,139.667,69,A4,0.22,0,-0.24
4195,139.833,72,C5,0.22,0,-0.24
4140,138.000,0,C-1,0.1,2,0
4155,138.500,0,C-1,0.1,3,0
4170,139.000,0,C-1,0.1,2,0
4185,139.500,0,C-1,0.1,3,0
4200,140.000,79,G5,0.67,0,0.16
4215,140.500,77,F5,0.48,0,0.16
4230,141.000,74,D5,0.67,0,0.16
4245,141.500,79,G5,0.48,0,0.16
4200,140.000,43,G2,0.6,1,-0.12
4230,141.000,50,D3,0.39,1,-0.12
4200,140.000,67,G4,0.22,0,-0.24
4205,140.167,74,D5,0.22,0,-0.24
4210,140.333,71,B4,0.22,0,-0.24
4215,140.500,74,D5,0.22,0,-0.24
4220,140.667,67,G4,0.22,0,-0.24
4225,140.833,74,D5,0.22,0,-0.24
4230,141.000,71,B4,0.22,0,-0.24
4235,141.167,74,D5,0.22,0,-0.24
4240,141.333,67,G4,0.22,0,-0.24
4245,141.500,74,D5,0.22,0,-0.24
4250,141.667,71,B4,0.22,0,-0.24
4255,141.833,74,D5,0.22,0,-0.24
4200,140.000,0,C-1,0.1,2,0
4215,140.500,0,C-1,0.1,3,0
4230,141.000,0,C-1,0.1,2,0
4245,141.500,0,C-1,0.1,3,0
4260,142.000,76,E5,0.67,0,0.16
4275,142.500,74,D5,0.48,0,0.16
4290,143.000,72,C5,0.67,0,0.16
4305,143.500,72,C5,0.48,0,0.16
4260,142.000,36,C2,0.6,1,-0.12
4290,143.000,43,G2,0.39,1,-0.12
4260,142.000,60,C4,0.22,0,-0.24
4265,142.167,67,G4,0.22,0,-0.24
4270,142.333,64,E4,0.22,0,-0.24
4275,142.500,67,G4,0.22,0,-0.24
4280,142.667,60,C4,0.22,0,-0.24
4285,142.833,67,G4,0.22,0,-0.24
4290,143.000,64,E4,0.22,0,-0.24
4295,143.167,67,G4,0.22,0,-0.24
4300,143.333,60,C4,0.22,0,-0.24
4305,143.500,67,G4,0.22,0,-0.24
4310,143.667,64,E4,0.22,0,-0.24
4315,143.833,67,G4,0.22,0,-0.24
4260,142.000,0,C-1,0.1,2,0
4275,142.500,0,C-1,0.1,3,0
4290,143.000,0,C-1,0.1,2,0
4305,143.500,0,C-1,0.1,3,0
4320,144.000,76,E5,0.67,0,0.16
4335,144.500,74,D5,0.48,0,0.16
4350,145.000,72,C5,0.67,0,0.16
4365,145.500,76,E5,0.48,0,0.16
4320,144.000,36,C2,0.6,1,-0.12
4350,145.000,43,G2,0.39,1,-0.12
4320,144.000,60,C4,0.22,0,-0.24
4325,144.167,67,G4,0.22,0,-0.24
4330,144.333,64,E4,0.22,0,-0.24
4335,144.500,67,G4,0.22,0,-0.24
4340,144.667,60,C4,0.22,0,-0.24
4345,144.833,67,G4,0.22,0,-0.24
4350,145.000,64,E4,0.22,0,-0.24
4355,145.167,67,G4,0.22,0,-0.24
4360,145.333,60,C4,0.22,0,-0.24
4365,145.500,67,G4,0.22,0,-0.24
4370,145.667,64,E4,0.22,0,-0.24
4375,145.833,67,G4,0.22,0,-0.24
4320,144.000,0,C-1,0.1,2,0
4335,144.500,0,C-1,0.1,3,0
4350,145.000,0,C-1,0.1,2,0
4365,145.500,0,C-1,0.1,3,0
4380,146.000,77,F5,0.67,0,0.16
4395,146.500,76,E5,0.48,0,0.16
4410,147.000,74,D5,0.67,0,0.16
4425,147.500,72,C5,0.48,0,0.16
4380,146.000,41,F2,0.6,1,-0.12
4410,147.000,48,C3,0.39,1,-0.12
